TXnid;RXnid;RSS;SNR;BER
2;3;-65.386945;38.613055;0.000021
2;1;-75.130384;28.869616;0.000194
2;3;-79.037043;24.962957;0.000478
2;1;-72.854750;31.145250;0.000115
2;3;-68.748605;35.251395;0.000045
2;3;-66.370861;37.629139;0.000026
2;1;-81.281117;22.718883;0.000800
2;3;-76.448582;27.551418;0.000263
2;1;-73.233889;30.766111;0.000126
3;2;-65.726171;38.273829;0.000022
2;3;-78.098061;25.901939;0.000385
2;3;-69.822610;34.177390;0.000057
2;1;-70.466867;33.533133;0.000066
2;3;-77.795786;26.204214;0.000359
2;1;-72.881135;31.118865;0.000116
3;2;-80.457226;23.542774;0.000662
2;3;-66.854876;37.145124;0.000029
2;3;-71.776802;32.223198;0.000090
2;1;-73.247988;30.752012;0.000126
2;3;-64.440037;39.559963;0.000017
2;1;-69.676854;34.323146;0.000055
2;3;-56.347536;47.652464;0.000003
3;2;-70.432213;33.567787;0.000066
2;3;-68.021188;35.978812;0.000038
2;1;-77.044652;26.955348;0.000302
2;3;-72.868069;31.131931;0.000116
2;1;-64.682167;39.317833;0.000018
3;2;-61.970939;42.029061;0.000009
2;3;-72.054036;31.945964;0.000096
2;3;-75.511841;28.488159;0.000212
2;1;-78.674693;25.325307;0.000440
2;3;-73.917357;30.082643;0.000147
2;1;-74.386363;29.613637;0.000164
3;2;-74.309890;29.690110;0.000161
2;3;-67.605123;36.394877;0.000034
2;3;-67.445319;36.554681;0.000033
2;1;-72.577990;31.422010;0.000108
2;3;-68.189940;35.810060;0.000039
2;1;-73.309396;30.690604;0.000128
2;3;-71.237250;32.762750;0.000079
3;2;-75.435785;28.564215;0.000209
2;3;-68.429021;35.570979;0.000042
2;1;-71.775010;32.224990;0.000090
2;3;-71.935462;32.064538;0.000093
2;1;-73.582536;30.417464;0.000136
2;3;-74.259548;29.740452;0.000159
3;2;-70.937538;33.062462;0.000074
2;3;-83.868943;20.131057;0.000305
2;1;-77.084171;26.915829;0.000305
2;3;-61.440158;42.559842;0.000008
2;1;-78.617963;25.382037;0.000434
2;3;-63.987770;40.012230;0.000015
3;2;-75.286293;28.713707;0.000202
2;3;-65.764485;38.235515;0.000023
2;1;-72.696757;31.303243;0.000111
2;3;-63.870934;40.129066;0.000015
2;1;-68.641263;35.358737;0.000044
2;3;-65.302133;38.697867;0.000020
3;2;-61.727249;42.272751;0.000009
2;3;-68.636925;35.363075;0.000044
2;1;-72.660634;31.339366;0.000110
2;3;-59.710841;44.289159;0.000006
2;1;-75.870821;28.129179;0.000231
3;2;-65.087431;38.912569;0.000019
2;3;-61.404505;42.595495;0.000008
2;3;-68.796411;35.203589;0.000045
2;1;-72.608724;31.391276;0.000109
2;3;-66.135547;37.864453;0.000025
2;1;-79.769741;24.230259;0.000565
2;3;-61.569503;42.430497;0.000009
3;2;-73.473387;30.526613;0.000133
2;3;-61.394327;42.605673;0.000008
2;1;-71.981966;32.018034;0.000094
2;3;-64.923432;39.076568;0.000019
2;1;-68.909334;35.090666;0.000046
2;3;-63.335836;40.664164;0.000013
3;2;-70.427684;33.572316;0.000066
2;3;-71.664305;32.335695;0.000088
2;1;-79.485582;24.514418;0.000530
2;3;-68.614275;35.385725;0.000043
2;1;-71.806176;32.193824;0.000090
3;2;-58.960758;45.039242;0.000005
2;3;-64.503085;39.496915;0.000017
2;3;-60.908102;43.091898;0.000007
2;1;-68.371121;35.628879;0.000041
2;3;-62.412264;41.587736;0.000010
2;1;-72.460589;31.539411;0.000105
2;3;-67.510908;36.489092;0.000034
3;2;-66.638555;37.361445;0.000028
2;3;-72.131874;31.868126;0.000098
2;1;-75.640466;28.359534;0.000219
2;3;-68.902693;35.097307;0.000046
2;1;-76.983808;27.016192;0.000298
2;3;-74.120276;29.879724;0.000154
3;2;-74.381549;29.618451;0.000164
2;3;-65.135719;38.864281;0.000019
2;1;-73.066711;30.933289;0.000121
2;3;-70.125916;33.874084;0.000061
2;1;-80.663478;23.336522;0.000694
2;3;-66.554510;37.445490;0.000027
3;2;-64.310884;39.689116;0.000016
2;3;-63.181078;40.818922;0.000012
2;1;-74.913379;29.086621;0.000185
2;3;-66.595709;37.404291;0.000027
2;1;-76.685082;27.314918;0.000278
2;3;-71.610374;32.389626;0.000086
3;2;-61.896420;42.103580;0.000009
2;3;-63.934629;40.065371;0.000015
2;1;-67.534370;36.465630;0.000034
2;3;-57.200960;46.799040;0.000003
2;1;-73.393238;30.606762;0.000130
2;3;-68.717355;35.282645;0.000044
3;2;-72.894148;31.105852;0.000116
2;3;-65.887467;38.112533;0.000023
2;1;-77.781814;26.218186;0.000358
2;3;-66.034371;37.965629;0.000024
2;1;-70.689997;33.310003;0.000070
2;3;-62.905434;41.094566;0.000012
3;2;-72.815029;31.184971;0.000114
2;3;-75.853426;28.146574;0.000230
2;1;-73.053276;30.946724;0.000121
2;3;-65.433989;38.566011;0.000021 
2;1;-68.217250;35.782750;0.000040
2;3;-77.978135;26.021865;0.000374
3;2;-66.811433;37.188567;0.000029
2;3;-68.256687;35.743313;0.000040
2;1;-69.398493;34.601507;0.000052
2;3;-68.818680;35.181320;0.000045
2;1;-69.894937;34.105063;0.000058
2;3;-67.099473;36.900527;0.000031
3;2;-68.621459;35.378541;0.000043
2;3;-65.659238;38.340762;0.000022
2;1;-65.926183;38.073817;0.000023
2;3;-67.377191;36.622809;0.000033
2;1;-71.737501;32.262499;0.000089
3;2;-70.852087;33.147913;0.000073
2;3;-64.911816;39.088184;0.000019
2;3;-74.662110;29.337890;0.000175
2;1;-76.962841;27.037159;0.000296
2;3;-67.576194;36.423806;0.000034
2;1;-74.848200;29.151800;0.000182
3;2;-72.492826;31.507174;0.000106
2;3;-61.217374;42.782626;0.000008
2;3;-62.464937;41.535063;0.000011
2;1;-73.638398;30.361602;0.000138
2;3;-68.596824;35.403176;0.000043
2;1;-74.799796;29.200204;0.000180
2;3;-67.459995;36.540005;0.000033
3;2;-63.675908;40.324092;0.000014
2;3;-64.159070;39.840930;0.000016
2;1;-74.821703;29.178297;0.000181
2;3;-71.000779;32.999221;0.000075
2;1;-75.739505;28.260495;0.000224
3;2;-65.263860;38.736140;0.000020
2;3;-64.231215;39.768785;0.000016
2;3;-59.024725;44.975275;0.000005
2;1;-66.755819;37.244181;0.000028
2;3;-67.425146;36.574854;0.000033
2;1;-78.290217;25.709783;0.000402
2;3;-64.799153;39.200847;0.000018
3;2;-66.098237;37.901763;0.000024
2;3;-62.488559;41.511441;0.000011
2;1;-77.534406;26.465594;0.000338
2;3;-84.680129;19.319871;0.000040
2;1;-68.262738;35.737262;0.000040
3;2;-61.625412;42.374588;0.000009
2;3;-70.897439;33.102561;0.000073
2;3;-63.261424;40.738576;0.000013
2;1;-69.634042;34.365958;0.000055
2;3;-61.146582;42.853418;0.000008
2;1;-76.020802;27.979198;0.000239
3;2;-65.624699;38.375301;0.000022
2;3;-65.433495;38.566505;0.000021
2;3;-67.394715;36.605285;0.000033
2;1;-73.845940;30.154060;0.000145
2;3;-60.424560;43.575440;0.000007
2;1;-71.479269;32.520731;0.000084
2;3;-60.290455;43.709545;0.000006
3;2;-75.399864;28.600136;0.000207
2;3;-67.365639;36.634361;0.000033
2;1;-62.974641;41.025359;0.000012
2;3;-69.868680;34.131320;0.000058
2;1;-71.320115;32.679885;0.000081
3;2;-66.017520;37.982480;0.000024
2;3;-69.104469;34.895531;0.000049
2;3;-65.264108;38.735892;0.000020
2;1;-78.144809;25.855191;0.000389
2;3;-65.817829;38.182171;0.000023
2;1;-74.866456;29.133544;0.000183
2;3;-65.669006;38.330994;0.000022
3;2;-66.903009;37.096991;0.000029
2;3;-68.396697;35.603303;0.000041
2;1;-81.792594;22.207406;0.000900
2;3;-62.769614;41.230386;0.000011
2;1;-76.868191;27.131809;0.000290
2;3;-69.763645;34.236355;0.000057
3;2;-69.932887;34.067113;0.000059
2;3;-57.275220;46.724780;0.000003
2;1;-66.622505;37.377495;0.000027
2;3;-64.730134;39.269866;0.000018
2;1;-73.424850;30.575150;0.000131
2;3;-64.483696;39.516304;0.000017
3;2;-71.912888;32.087112;0.000093
2;3;-67.673353;36.326647;0.000035
2;1;-65.270785;38.729215;0.000020
2;3;-65.956115;38.043885;0.000024
2;1;-70.063732;33.936268;0.000061
2;3;-71.325946;32.674054;0.000081
3;2;-70.347231;33.652769;0.000065
2;3;-62.098880;41.901120;0.000010
2;1;-70.688274;33.311726;0.000070
2;3;-62.682494;41.317506;0.000011
2;1;-68.131788;35.868212;0.000039
2;3;-65.600498;38.399502;0.000022
3;2;-64.687566;39.312434;0.000018
2;3;-67.753958;36.246042;0.000036
2;1;-71.684504;32.315496;0.000088
2;3;-65.202228;38.797772;0.000020
2;1;-75.940166;28.059834;0.000234
3;2;-63.987350;40.012650;0.000015
2;3;-70.775484;33.224516;0.000071
2;3;-66.405954;37.594046;0.000026
2;1;-79.631376;24.368624;0.000548
2;3;-78.392726;25.607274;0.000412
2;1;-87.676689;16.323311;0.000412
2;3;-65.451782;38.548218;0.000021
3;2;-71.345616;32.654384;0.000081
2;3;-69.636984;34.363016;0.000055
2;1;-77.380862;26.619138;0.000326
2;3;-64.382653;39.617347;0.000016
2;1;-67.058648;36.941352;0.000030
2;3;-66.589054;37.410946;0.000027
3;2;-64.373604;39.626396;0.000016
2;3;-70.286911;33.713089;0.000064
2;1;-66.911875;37.088125;0.000029
2;3;-65.612361;38.387639;0.000022
2;1;-78.674646;25.325354;0.000440
2;3;-75.011640;28.988360;0.000189
3;2;-64.948782;39.051218;0.000019
2;3;-65.058725;38.941275;0.000019
2;1;-68.758889;35.241111;0.000045
2;3;-67.483311;36.516689;0.000033
2;1;-75.718309;28.281691;0.000223
2;3;-66.685470;37.314530;0.000028
3;2;-70.477329;33.522671;0.000067
2;3;-65.194523;38.805477;0.000020
2;1;-78.257533;25.742467;0.000399
2;3;-67.408680;36.591320;0.000033
2;1;-67.867738;36.132262;0.000037
2;3;-75.767702;28.232298;0.000225
3;2;-75.464966;28.535034;0.000210
2;3;-61.733016;42.266984;0.000009
2;1;-71.002824;32.997176;0.000075
2;3;-65.405371;38.594629;0.000021
2;1;-64.899201;39.100799;0.000018
2;3;-76.228508;27.771492;0.000250
3;2;-58.942928;45.057072;0.000005
2;3;-70.570870;33.429130;0.000068
2;1;-71.463508;32.536492;0.000084
2;3;-58.655160;45.344840;0.000004
2;1;-73.606927;30.393073;0.000137
3;2;-71.808535;32.191465;0.000091
2;3;-70.006118;33.993882;0.000060
2;3;-64.055051;39.944949;0.000015
2;1;-69.959432;34.040568;0.000059
2;3;-67.437131;36.562869;0.000033
2;1;-72.069521;31.930479;0.000096
2;3;-64.178099;39.821901;0.000016
3;2;-56.292945;47.707055;0.000003
2;3;-71.029078;32.970922;0.000076
2;1;-65.991201;38.008799;0.000024
2;3;-68.565603;35.434397;0.000043
2;1;-70.152700;33.847300;0.000062
2;3;-68.642232;35.357768;0.000044
3;2;-67.664989;36.335011;0.000035
2;3;-69.862132;34.137868;0.000058
2;1;-73.432421;30.567579;0.000132
2;3;-62.767024;41.232976;0.000011
2;1;-63.953713;40.046287;0.000015
3;2;-61.784078;42.215922;0.000009
2;3;-65.250554;38.749446;0.000020
2;3;-68.247733;35.752267;0.000040
2;1;-86.483870;17.516130;0.000040
2;3;-58.431320;45.568680;0.000004
2;1;-74.746192;29.253808;0.000178
2;3;-75.681327;28.318673;0.000221
3;2;-64.070191;39.929809;0.000015
2;3;-69.269113;34.730887;0.000050
2;1;-69.672164;34.327836;0.000055
2;3;-73.206101;30.793899;0.000125
2;1;-76.270367;27.729633;0.000253
2;3;-67.421995;36.578005;0.000033
3;2;-86.665648;17.334352;0.000033
2;3;-61.377095;42.622905;0.000008
2;1;-71.994297;32.005703;0.000094
2;3;-63.995233;40.004767;0.000015
2;1;-70.704103;33.295897;0.000070
2;3;-65.557331;38.442669;0.000021
3;2;-66.277505;37.722495;0.000025
2;3;-69.778050;34.221950;0.000057
2;1;-67.376171;36.623829;0.000033
2;3;-59.455287;44.544713;0.000005
2;1;-72.888432;31.111568;0.000116
2;3;-69.876905;34.123095;0.000058
3;2;-69.635730;34.364270;0.000055
2;3;-65.390706;38.609294;0.000021
2;1;-66.598150;37.401850;0.000027
2;3;-64.574003;39.425997;0.000017
2;1;-80.608249;23.391751;0.000686
2;3;-62.358660;41.641340;0.000010
3;2;-67.903015;36.096985;0.000037
2;3;-61.029856;42.970144;0.000008
2;1;-70.706836;33.293164;0.000070
2;3;-74.948834;29.051166;0.000187
2;1;-75.125207;28.874793;0.000194
3;2;-70.099547;33.900453;0.000061
2;3;-76.154471;27.845529;0.000246
2;3;-66.654565;37.345435;0.000028
2;1;-69.965251;34.034749;0.000059
2;3;-68.898383;35.101617;0.000046
2;1;-68.560837;35.439163;0.000043
3;2;-66.053991;37.946009;0.000024
2;3;-69.244477;34.755523;0.000050
2;3;-81.292083;22.707917;0.000802
2;1;-69.216546;34.783454;0.000050
2;3;-63.586176;40.413824;0.000014
2;1;-73.181897;30.818103;0.000124
2;3;-62.937465;41.062535;0.000012
3;2;-75.955782;28.044218;0.000235
2;3;-67.249381;36.750619;0.000032
2;1;-78.492787;25.507213;0.000422
2;3;-69.322071;34.677929;0.000051
2;1;-66.462040;37.537960;0.000026
3;2;-63.212273;40.787727;0.000013
2;3;-67.739700;36.260300;0.000035
2;3;-67.889184;36.110816;0.000037
2;1;-61.153377;42.846623;0.000008
2;3;-60.423166;43.576834;0.000007
2;1;-71.805991;32.194009;0.000090
3;2;-77.353992;26.646008;0.000324
2;3;-75.546033;28.453967;0.000214
2;3;-64.134434;39.865566;0.000015
2;1;-68.662984;35.337016;0.000044
2;3;-66.908044;37.091956;0.000029
2;1;-64.023857;39.976143;0.000015
3;2;-65.636521;38.363479;0.000022
2;3;-66.044119;37.955881;0.000024
2;3;-67.352858;36.647142;0.000032
2;1;-67.220285;36.779715;0.000031
2;3;-58.509538;45.490462;0.000004
2;1;-66.702638;37.297362;0.000028
3;2;-69.083187;34.916813;0.000048
2;3;-64.055198;39.944802;0.000015
2;3;-74.015393;29.984607;0.000150
2;1;-67.284933;36.715067;0.000032
2;3;-58.878648;45.121352;0.000005
2;1;-74.048608;29.951392;0.000152
3;2;-61.757921;42.242079;0.000009
2;3;-69.069685;34.930315;0.000048
2;3;-69.188704;34.811296;0.000050
2;1;-73.572668;30.427332;0.000136
2;3;-68.057377;35.942623;0.000038
2;1;-75.045916;28.954084;0.000191
2;3;-66.711954;37.288046;0.000028
3;2;-58.335614;45.664386;0.000004
2;3;-65.638104;38.361896;0.000022
2;1;-74.388753;29.611247;0.000164
2;3;-72.780288;31.219712;0.000113
2;1;-67.117592;36.882408;0.000031
3;2;-59.199978;44.800022;0.000005
2;3;-69.833343;34.166657;0.000057
2;3;-71.314729;32.685271;0.000081
2;1;-69.798874;34.201126;0.000057
2;3;-62.176971;41.823029;0.000010
2;1;-79.578757;24.421243;0.000541
3;2;-60.730429;43.269571;0.000007
2;3;-57.137226;46.862774;0.000003
2;3;-69.112411;34.887589;0.000049
2;1;-87.369438;16.630562;0.000049
2;3;-62.563493;41.436507;0.000011
2;1;-75.574130;28.425870;0.000215
2;3;-70.021197;33.978803;0.000060
3;2;-68.122172;35.877828;0.000039
2;3;-59.931814;44.068186;0.000006
2;1;-71.801268;32.198732;0.000090
2;3;-63.819733;40.180267;0.000014
2;1;-77.153993;26.846007;0.000310
2;3;-63.228859;40.771141;0.000013
3;2;-66.971497;37.028503;0.000030
2;3;-65.679923;38.320077;0.000022
2;1;-78.447056;25.552944;0.000417
2;3;-64.147752;39.852248;0.000016
2;1;-65.874323;38.125677;0.000023
3;2;-61.457307;42.542693;0.000008
2;3;-70.527144;33.472856;0.000067
2;3;-66.975075;37.024925;0.000030
2;1;-77.064254;26.935746;0.000303
2;3;-71.660212;32.339788;0.000087
2;1;-73.546702;30.453298;0.000135
3;2;-65.886806;38.113194;0.000023
2;3;-73.583262;30.416738;0.000136
2;3;-74.253905;29.746095;0.000159
2;1;-70.292303;33.707697;0.000064
2;3;-65.467315;38.532685;0.000021
2;1;-69.205316;34.794684;0.000050
2;3;-62.471697;41.528303;0.000011
3;2;-60.210674;43.789326;0.000006
2;3;-57.455794;46.544206;0.000003
2;1;-76.719166;27.280834;0.000280
2;3;-78.112788;25.887212;0.000386
2;1;-81.421929;22.578071;0.000826
3;2;-60.318286;43.681714;0.000006
2;3;-64.004247;39.995753;0.000015
2;3;-68.449591;35.550409;0.000042
2;1;-76.461380;27.538620;0.000264
2;3;-63.178838;40.821162;0.000012
2;1;-72.533938;31.466062;0.000107
2;3;-66.740108;37.259892;0.000028
3;2;-60.687133;43.312867;0.000007
2;3;-63.692163;40.307837;0.000014
2;1;-74.268568;29.731432;0.000159
2;3;-58.248542;45.751458;0.000004
2;1;-76.581872;27.418128;0.000272
2;3;-62.839856;41.160144;0.000011
3;2;-65.444012;38.555988;0.000021
2;3;-68.576776;35.423224;0.000043
2;1;-65.379952;38.620048;0.000021
2;3;-60.942126;43.057874;0.000007
2;1;-73.695102;30.304898;0.000140
3;2;-63.310970;40.689030;0.000013
2;3;-76.110398;27.889602;0.000244
2;3;-66.066584;37.933416;0.000024
2;1;-71.738097;32.261903;0.000089
2;3;-61.494830;42.505170;0.000008
2;1;-70.327299;33.672701;0.000064
3;2;-63.161077;40.838923;0.000012
2;3;-64.353993;39.646007;0.000016
2;3;-61.945331;42.054669;0.000009
2;1;-76.476696;27.523304;0.000265
2;3;-67.703973;36.296027;0.000035
2;1;-70.251368;33.748632;0.000063
3;2;-63.818311;40.181689;0.000014
2;3;-78.724504;25.275496;0.000445
2;3;-59.551583;44.448417;0.000005
2;1;-73.264876;30.735124;0.000127
2;3;-59.325212;44.674788;0.000005
2;1;-73.889587;30.110413;0.000146
3;2;-65.872421;38.127579;0.000023
2;3;-60.563874;43.436126;0.000007
2;3;-61.321433;42.678567;0.000008
2;1;-72.114282;31.885718;0.000097
2;3;-62.513039;41.486961;0.000097
2;1;-83.096848;20.903152;0.000011
2;3;-67.457220;36.542780;0.000033
3;2;-72.788885;31.211115;0.000113
